categoria,disponibilidade,preco_com_taxa,preco_sem_taxa,rating,titulo,url_imagem
Poetry,22,51.77,51.77,3,A Light in the Attic,https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg
Travel,19,45.17,45.17,2,It's Only the Himalayas,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg
Politics,19,51.33,51.33,2,Libertarianism for Beginners,https://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg
Science Fiction,19,37.59,37.59,1,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg
Poetry,17,33.63,33.63,2,You can't bury them all: Poems,https://books.toscrape.com/media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg
Thriller,18,52.22,52.22,4,Behind Closed Doors,https://books.toscrape.com/media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg
Mystery,18,19.63,19.63,1,"In a Dark, Dark Wood",https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg
Young Adult,16,45.22,45.22,3,The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg
Mystery,16,56.5,56.5,4,The Past Never Ends,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg
Food and Drink,16,56.41,56.41,1,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg
Sequential Art,16,50.4,50.4,3,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg
Nonfiction,16,19.83,19.83,2,Reskilling America: Learning to Labor in the Twenty-First Century,https://books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg
Sequential Art,16,51.04,51.04,2,"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg
Nonfiction,16,22.0,22.0,4,In the Country We Love: My Family Divided,https://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg
Science Fiction,16,35.67,35.67,5,Join,https://books.toscrape.com/media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg
Add a comment,16,53.9,53.9,2,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),https://books.toscrape.com/media/cache/6d/80/6d80608ef81001ad068df06fae44b7f8.jpg
Fantasy,16,28.09,28.09,2,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",https://books.toscrape.com/media/cache/9f/25/9f25ffe4229a32d1368b3dfe248c3343.jpg
Sequential Art,16,37.92,37.92,2,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",https://books.toscrape.com/media/cache/9d/1d/9d1d68362670066b155936e37d61bc5b.jpg
Default,16,49.46,49.46,2,Bossypants,https://books.toscrape.com/media/cache/94/34/943490007d42c0bc066efc899dafa472.jpg
Philosophy,15,17.44,17.44,4,The Stranger,https://books.toscrape.com/media/cache/c8/1a/c81aea97de1daaa0081d96f8564c204c.jpg
Business,15,12.61,12.61,5,The Third Wave: An Entrepreneur’s Vision of the Future,https://books.toscrape.com/media/cache/0f/76/0f76b00ea914ced1822d8ac3480c485f.jpg
Fiction,15,42.15,42.15,4,The Vacationers,https://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg
Food and Drink,15,41.25,41.25,1,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,https://books.toscrape.com/media/cache/81/37/81374b88e925ba998c4049abcf805196.jpg
Default,15,23.15,23.15,2,The Emerald Mystery,https://books.toscrape.com/media/cache/bc/1f/bc1f79af87032748b75d12079f51c031.jpg
Nonfiction,15,17.24,17.24,1,The Genius of Birds,https://books.toscrape.com/media/cache/2e/52/2e52982210cbc8dffe414cab72b52e38.jpg
Historical Fiction,15,30.25,30.25,5,Mrs. Houdini,https://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg
Poetry,15,41.05,41.05,1,Night Sky with Exit Wounds,https://books.toscrape.com/media/cache/ff/48/ff48b0696fb97b7f7b5c6d15e372cb70.jpg
Young Adult,15,38.28,38.28,1,"Nightingale, Sing",https://books.toscrape.com/media/cache/97/e6/97e65c8381cc80ba1107c3ce81c4878d.jpg
